uuid,lat,lon,alt
3Q2TTH4B2B9_59,22.5933834657667,113.965445173537,16.6665821922943
3Q2TTH4B2B9_60,22.596500753517017,113.96290116489045,16.6665821922943
3Q2TTH4B2B9_61,22.59657199691067,113.96301196493457,16.6665821922943
3Q2TTH4B2B9_62,22.596575935365035,113.96316725715012,16.6665821922943
3Q2TTH4B2B9_63,22.596576662003574,113.9633261283426,16.6665821922943
3Q2TTH4B2B9_64,22.596575935365035,113.96349053236268,16.6665821922943
3Q2TTH4B2B9_65,22.596578115280654,113.96366521163401,16.6665821922943
3Q2TTH4B2B9_66,22.596565035786927,113.963816969191,16.6665821922943
3Q2TTH4B2B9_67,22.5965248922876,113.963990537064,18.2335865655914
3Q2TTH4B2B9_69,22.5964960365446,113.964148500866,18.3009500922635
3Q2TTH4B2B9_71,22.59646230080214,113.96428631391115,18.3009500922635
3Q2TTH4B2B9_73,22.596403033462273,113.96443493026896,18.3009500922635
3Q2TTH4B2B9_74,22.596337527455045,113.96459236860235,18.3009500922635
3Q2TTH4B2B9_75,22.5963030522507,113.964721301653,12.1473773950711
3Q2TTH4B2B9_76,22.596222442945542,113.96484180370449,12.1473773950711
3Q2TTH4B2B9_79,22.596166737382273,113.96494085150165,12.1473773950711
3Q2TTH4B2B9_80,22.59609710542819,113.96506203939465,12.1473773950711
3Q2TTH4B2B9_82,22.5960228916028,113.965231651781,18.3845185870305
3Q2TTH4B2B9_85,22.5959491874977,113.965363091097,18.4061979334801
3Q2TTH4B2B9_88,22.5958907124814,113.965469898435,18.3955979160964
3Q2TTH4B2B9_89,22.595801625248047,113.96560648762221,18.3955979160964
3Q2TTH4B2B9_90,22.59571261374325,113.96578217514343,18.3955979160964
3Q2TTH4B2B9_91,22.595663335744973,113.96587073552678,18.3955979160964
3Q2TTH4B2B9_92,22.5956040222073,113.965983882305,18.4787959204987
3Q2TTH4B2B9_93,22.5952249463821,113.962921391049,17.2434528712183
HNDLT5S63XO_0,22.5950347772095,113.967030401821,17.5694755287841
HNDLT5S63XO_2,22.5951371004678,113.966841280198,17.7765274057165
HNDLT5S63XO_3,22.5951869951931,113.96675153406,17.8215080285445
HNDLT5S63XO_4,22.5952475823749,113.966647420866,17.8515493506566
HNDLT5S63XO_5,22.595296119897,113.966556670878,18.0276895258576
HNDLT5S63XO_6,22.5953493148885,113.966464825738,18.193317361176
HNDLT5S63XO_9,22.5949419597542,113.967182634413,17.5583425462246
HNDLT5S63XO_10,22.5949927067532,113.967112227093,17.500307993032
HNDLT5S63XO_13,22.5948900698913,113.967182183003,17.5714774494991
HNDLT5S63XO_14,22.5948071143488,113.967121133043,17.5316907418892
HNDLT5S63XO_15,22.5947106565843,113.967070985442,17.5946206590161
HNDLT5S63XO_16,22.5946080094207,113.967038623143,17.5868575312197
HNDLT5S63XO_17,22.594626666132,113.966951549109,17.690776778385
HNDLT5S63XO_18,22.5946515814855,113.966830899762,17.8567029908299
HNDLT5S63XO_19,22.5946702731345,113.966762725905,17.7819304717705
HNDLT5S63XO_20,22.5945218085274,113.967032762455,17.5563506316394
HNDLT5S63XO_21,22.5944128916165,113.967039692492,17.7466446394101
HNDLT5S63XO_22,22.594353110887,113.96704726182,17.6060820603743
HNDLT5S63XO_23,22.5942523820231,113.967082066923,17.6183768613264
HNDLT5S63XO_24,22.5941600461392,113.967129009193,17.5773214288056
HNDLT5S63XO_25,22.5940811408934,113.967136101519,17.5901127159595
HNDLT5S63XO_28,22.5939798064238,113.967074486829,17.5280587626621
HNDLT5S63XO_31,22.5938433452837,113.966935889575,17.4596996437758
HNDLT5S63XO_32,22.5937697080605,113.966858211532,17.4350894968957
HNDLT5S63XO_34,22.5936096248511,113.966688925661,17.3297089906409
HNDLT5S63XO_35,22.593525944795,113.96660285937,17.3336562756449
HNDLT5S63XO_37,22.5934222826507,113.966411403425,17.1514491531998
HNDLT5S63XO_38,22.5934167900442,113.966293152765,16.9706252925098
HNDLT5S63XO_39,22.5934172708015,113.966190237533,16.8100906321779
HNDLT5S63XO_60,22.5947158260673,113.966663300588,17.585541033186
HNDLT5S63XO_61,22.594784402914282,113.9665278891041,17.585541033186
HNDLT5S63XO_62,22.594847644115017,113.96640116908792,17.585541033186
HNDLT5S63XO_63,22.594909221073628,113.96627987992957,17.585541033186
HNDLT5S63XO_64,22.59495914833737,113.96618031420257,17.585541033186
HNDLT5S63XO_65,22.59503071074873,113.96605902504425,17.585541033186
HNDLT5S63XO_66,22.595075167183108,113.96598719432109,17.585541033186
HNDLT5S63XO_67,22.59513038962443,113.96588135947053,17.585541033186
